
Cornell,120.514,122.189,0.460393,10-10,10,20,58.6,57.6,31.5,37.5,16.3,15.3,29,30.2,72.6888,58.2,56.9,39.3,39.2,0,0,66.9,54.9,52.1,38.6,72.6888,,,,2026,,,,-6.3587,74,
"West Virginia",110.957,98.2896,0.801239,15-8,15,23,52.1,47.9,36.8,26.7,17.4,17.9,30.7,26.9,62.3089,51.5,45.4,35.3,34.4,0,0,54.6,56.9,43.1,39.3,62.3089,,,,2026,,,,-0.226114,67.8,
Oklahoma,119.437,108.422,0.752641,11-12,11,23,53.9,51.1,34,33.1,14.3,15.2,33.4,31.3,66.6755,55.4,51,34.7,34.3,0,0,51.2,50.3,45.2,38.8,66.6755,,,,2026,,,,-3.37924,74.2,
Queens,114.296,118.247,0.403527,13-11,13,24,55.9,55.1,33.2,39.9,15.1,14.7,32.1,33.1,69.0285,58.4,54.6,35.4,37.3,0,0,54.8,51.2,47.7,40.5,69.0285,,,,2026,,,,-5.8097,74.8,
"Southern Illinois",102.786,100.531,0.563448,10-13,10,23,49.8,48.6,35.6,34.6,17.7,18.2,29.8,28.8,69.4939,52.5,50.7,28.5,30.2,0,0,49.6,53.1,27.7,40.1,69.4939,,,,2026,,,,-7.45257,66.7,
"San Diego St.",112.158,94.3613,0.879418,16-6,16,22,53.1,47.7,37.9,36.9,17.9,21.2,30,31.1,68.5613,52.6,46.9,36,32.4,0,0,55.7,59.7,33.3,49,68.5613,,,,2026,,,,0.954002,74.4,
"Nebraska Omaha",105.127,111.358,0.340251,12-13,12,25,51.8,52,35.8,35.5,17,14.4,26.9,29.3,67.2664,53.2,55.3,33.1,32,0,0,47,54,40.6,45.2,67.2664,,,,2026,,,,-9.44466,71.3,
"East Texas A&M",99.5289,110.029,0.239859,9-15,9,24,49,53.8,32.1,36.5,19.9,17.4,25.8,32.4,69.0771,50.2,52.1,31.8,37.7,0,0,61.6,56.9,45.7,37.6,69.0771,,,,2026,,,,-9.85329,69,
DePaul,107.872,100.413,0.695082,12-11,12,23,50.9,48.1,38,37.7,17.9,18.1,29.6,30.9,66.4977,51,46.1,33.9,34.7,0,0,62.6,57.7,40,32.9,66.4977,,,,2026,,,,-3.52353,69.9,
"UT Rio Grande Valley",107.502,105.8,0.545734,12-11,12,23,53.4,48.6,27.3,37.7,18.2,17.3,27.6,32.1,66.7803,52.7,49.2,36.2,31.8,0,0,60.1,60.7,42.2,40.3,66.7803,,,,2026,,,,-6.59102,74.1,
